9,C9527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toilet Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C9383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C8582,,,,,,Sugar Cookies,Onions,,,,,Ice Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instant Rice,,,,,,,,,,,Cantaloupe,,,,,,,,,,,,,,,,,,,,,,,,,Chocolate Chip Cookies,,,,Corn Oil,,,,,,,,,,,,,,,,Corn Chips,,,,,,,,,,,,,,Paper Plates,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabbage,,,,,,,,,,,,Sunglasses,,,,,,,,,,,,,,,,,,,French Roast Coffee,,,,,,,,,,,,,,,,,,,,Hamburger Buns,,,,,French Fries,,,Heavy Duty Cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicken Noodle Soup,,,,,,,,,,,,,,,,Strawberry Fruit Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet Potatoes,,,,,,,,,,,,,,,,
13,C10133,,,,,98pct. Fat Free Hamburger,,Onions,,,,,,,,,,,Strawberry Yogurt,,,,,Salsa Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Dogs,,,,,,,,,,,,,,,,Popcorn Salt,,,,,,,,,,,,,,,White Bread,,,,,,,,,,,,,Plastic Knives,,,,,,,,Sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamburger Buns,,,,,,,,,,,,,,,,Domestic Beer,,,,,,,,,,,,,,,,,,,,,,,,,,Fingernail Clippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regular Coffee,,,Canned Peaches,,,,,,,,Sweet Potatoes,,,Wood Polish,,,,,,,,,,,,,
14,C6983,,,,,,,,,,,,,,,,,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C3641,Hair Conditioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Flavored Fruit Bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C5246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C10136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin,,,,,,,,,,,,,,,,,
18,C7787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C3644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolate Chip Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cole Slaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cream Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C6989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corn Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C7931,,,,,98pct. Fat Free Hamburger,Sugar Cookies,,Deli Ham,,,,,,,,,Potato Chips,Strawberry Yogurt,,,,Mint Chocolate Bar,,Buttered Popcorn,,,,,,,,,Waffles,,,,,,,Cream Soda,Apple Fruit Roll,,Ice Cream Sandwich,Soda Crackers,Lettuce,,,,,,,,Instant Rice,,,,,,Skin Moisturizer,,,,,Cantaloupe,,,,,,Dog Food,,Frozen Sausage Pizza,,,,Plums,,,,Flavored Fruit Bars,,,,Jelly Filled Donuts,,Hot Chicken Wings,,,,Vegetable Soup,,,,,,,Sour Cream,,,,,English Muffins,,,,,,,Corn Chips,,Hot Dogs,,,,,,,,,Cranberry Juice,,,,,,,Popcorn Salt,,,Tomatoes,,,Eggs,,,,,,,,,White Bread,,Cheese Spread,,,,Diet Cola,,,,,,,,,,,,Apples,Regular Hamburger,,Sunglasses,,,,,,,,,,,,Microwave Popcorn,Toothpaste,,,,,,,,,,,,,,,,Mandarin Oranges,,,Pretzels,,Canned Tuna,Licorice,,,Frozen Peas,,,,,,,,,,,,Orange Flavored Fruit Bars,Cheese,,,,,,,,,,,,Sliced Turkey,Sliced Chicken,,,Sponge,,,,Oven Cleaner,,,,,Sweet Relish,,Cheese Dip,,,,Corned Beef,,,Blueberry Yogurt,,Mixed Vegetables,,Tuna Spread,Toilet Paper,,,,White Zinfandel Wine,,,,Whole Milk,,Graham Crackers,Scissors,,Muffins,,,,Baked Beans,,,Hair Brush,,,,,,,,,,BBQ Potato Chips,,,,,,,Wood Polish,Squash,,,,,Flavored Ice,,Grits,,,Potatoes,,
23,C851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesame Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C6050,,,,,98pct. Fat Free Hamburger,Sugar Cookies,,,,,,,,,,,,,Diet Soda,,,,Salsa Dip,Buttered Popcorn,,,,Mouthwash,Sugar,,,,,,Smoked Turkey Sliced,,,Red Wine,,,,,,,Lettuce,,Honey Roasted Peanuts,Frozen Cheese Pizza,,Manicotti,,,,Green Pepper,,,,Canned Peas,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Sauce,,,,,,,,Corn Oil,,,,,,,,Brown Sugar,,Apple Soda,Strawberry Preserves,Pepperoni Pizza - Frozen,,,,,,Hot Dogs,,,,,,,,,Cranberry Juice,Shampoo,Pancake Mix,,,2pct. Milk,,,,Vanilla Wafers,Tomatoes,Vegetable Oil,,Eggs,,,,,Hot Chocolate,,Napkins,Blueberry Waffles,White Bread,,,,,,,,Sharp Cheddar Cheese,,,,Cola,,,,,,,,,,Turkey Noodle Soup,,,,,Import Beer,Hot Dog Buns,,,,,,,,Apple Jam,,Fruit Drink,,French Roast Coffee,,,,,,,,,,Mandarin Oranges,Mango Drink,Taco Salad,,,,,,,,,,,,,,,,,Ramen Noodles,,Orange Flavored Fruit Bars,Cheese,,Polish Sausage,,Domestic Beer,,Chicken TV Dinner,Tissues,Garlic,,,Donuts,Sliced Turkey,,,Ranch Dip,,Frozen Corn,,,,,,,,Sweet Relish,,Cheese Dip,,Chicken Noodle Soup,,,,,,,Mixed Vegetables,Souring Pads,,Toilet Paper,,Columbian Coffee,Ravioli,White Zinfandel Wine,,,,,,,,,,,,,,Cream Cheese,,Hair Brush,Grapefruit Juice,,,,Provolone Cheese,,,,,,,,Aspirin,Sweet Potatoes,,,,,,,,,,,,,,Potatoes,,
25,C7790,Hair Conditioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 Watt Lightbulb,,,Wash Towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grape Jam,Mandarin Oranges,,,,,,,,,,,,,,,,,Sesame Crackers,,,,,,,,,,,,,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C6053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creamed Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,C5252,Hair Conditioner,Lemons,,,98pct. Fat Free Hamburger,,Onions,,Dishwasher Detergent,,,Ice Cream,Cottage Cheese,,,,Potato Chips,,Diet Soda,D Cell Batteries,Paper Towels,,,,,,,,,,,,,,,Screw Driver,Sesame Oil,,60 Watt Lightbulb,,,,,,,,,,,,,,,,,Chardonnay Wine,,,,,Blueberry Muffins,,Chablis Wine,Cantaloupe,,,,,,,Cat Food,,,,,,,,,,,,,,,,,Strawberry Jam,,,,,Corn Oil,,,Mushroom Pizza - Frozen,Sour Cream,,,,,English Muffins,,Strawberry Preserves,Pepperoni Pizza - Frozen,,,Trash Bags,,,,,,Grape Juice,,Frozen Shrimp,,,,Cranberry Juice,,Pancake Mix,,Bologna,2pct. Milk,Daily Newspaper,Popcorn Salt,,,,Vegetable Oil,Chicken Soup,Eggs,,,,Oatmeal,,,Napkins,,White Bread,,Cheese Spread,,Fudge Cookies,Chicken Breast - Frozen,Diet Cola,Limes,Sharp Cheddar Cheese,,,Dried Apricots,Cola,,,,Cranberry Muffins,Peaches,Apples,,,,,,Bananas,,,,,,Plain Bagels,,,,Toothpaste,,,,Fruit Drink,,,,,,,,Strawberry Drink,,,,,,Taco Salad,Pretzels,,Canned Tuna,Licorice,,,,Hamburger Buns,,,Rye Bread,,,,,,,,Orange Flavored Fruit Bars,Cheese,,Polish Sausage,,Domestic Beer,Mixed Nuts,,,,,,Donuts,,,,,,,,Wheat Bread,,,,,Creamy Peanut Butter,Sweet Relish,,,,,,,,,,,,,,,,,Ravioli,White Zinfandel Wine,,,,,,,,,,,Counter Cleaner,,Baked Beans,,Bubble Gum,,,,Regular Coffee,,,Canned Peaches,,,,,Cookies,Dandruff Shampoo,Aspirin,,,,,Squash,,,,,,,Grits,,,Potatoes,Small Eggs,
28,C6056,,,,,98pct. Fat Free Hamburger,Sugar Cookies,,,,,,,Cottage Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Fruit Roll,,,,,,,Frozen Cheese Pizza,,,,Liquid Laundry Detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cranberry Juice,,,,,2pct. Milk,,Popcorn Salt,,,,,,Eggs,,,,,,,,,,,,,,Chicken Breast - Frozen,,,,,,,,,,,,,,,,,,,,Sandwich Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen Peas,,,,,,,,,,,,,,,,,,,,,,,,,,,Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,Toilet Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Jelly,,,,
